publication_id,Nom,Type,Thématique,Lieu,Période,Périodicité,Scope
tocng2017,"2017 25th International Conference on Software, Telecommunications and Computer Networks, SoftCOM 2017",Conference,Computer Networks and Communications,United States,-,Not found,Information not localized
aufng2018,2018 IEEE 32nd international conference on advanced information networking and applications (AINA),Conference,Not found,Not found,Not found,Not found,Not found
peeng2018,2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA),Conference,Not found,Not found,Not found,Not found,Not found
sifng2019,2019 IEEE/ACS 16th International Conference on Computer Systems and Applications (AICCSA),Conference,Not found,Not found,Not found,Not found,Not found
oping2020,Journal of Information Security and Applications,Journal,Computer Networks and Communications,United Kingdom,2013-2025,Not found,"Journal of Information Security and Applications (JISA) focuses on the original research and practice-driven applications with relevance to information security and applications. JISA provides a common linkage between a vibrant scientific and research community and industry professionals by offering a clear view on modern problems and challenges in information security, as well as identifying promising scientific and ""best-practice"" solutions. JISA issues offer a balance between original research work and innovative industrial approaches by internationally renowned information security experts and researchers.

The international editorial board of JISA and its guest editors are committed to the highest scientific standards by implementing a strict peer-review policy for submitted articles. It will also regularly invite the best papers from renowned information security venues for publication in JISA.

JISA issues are published quarterly with a strong emphasis for details and technical contributions, covering a wide range of advanced and latest information security topics, including new and emerging research directions and scientific vision while keeping the readers informed of the state-of-the-art security techniques, technologies and applications.

Current JISA topics:

-Authentication and access control
-Anonymity and privacy
-Cryptographic protection
-Digital forensics
-Human factors in security
-Multimedia security
-Network and mobile security
-Security management and policies
-Hardware and physical security"
deaks2022,2022 IEEE International Conference on Consumer Electronics (ICCE),Conference,Not found,Not found,Not found,Not found,Not found
sezng2022,"Advances in Computing Systems and Applications - Proceedings of the 5th Conference on Computing Systems and Applications, CSA 2022, Algiers, Algeria, 17-18 May, 2022",Conference,Not found,Not found,Not found,Not found,Not found
bocon2023,arXiv preprint arXiv:2308.07967,Journal,Not found,Not found,Not found,Not found,Not found
sewng2023,"2023 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",Conference,Not found,Not found,Not found,Not found,Not found
stvng2023,"Machine Learning for Networking - 6th International Conference, MLN 2023, Paris, France, November 28-30, 2023, Revised Selected Papers",Conference,Not found,Not found,Not found,Not found,Not found
wetns2023,"2023 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",Conference,Not found,Not found,Not found,Not found,Not found
efrng2024,"2024 IEEE 21st International Conference on Smart Communities: Improving Quality of Life using AI, Robotics and IoT (HONET)",Conference,Not found,Not found,Not found,Not found,Not found
ansct2003,WSEAS Transactions on Computers,Journal,Computer Science (miscellaneous),Greece,2005-2014,Not found,Information not localized
clsts2003,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
unses2003,"CPI'2003, 3rd International Conference: Integrated Design and Production, Maroc",Journal,Not found,Not found,Not found,Not found,Not found
aneon2006,"World Academy of Science, Engineering and Technology",Journal,Engineering (miscellaneous),France,2009-2011,Not found,Information not localized
cotle2006,"MOSIM'06, 6e Conférence Francophone de MOdélisation et SIMulation, Rabat, Maroc",Journal,Not found,Not found,Not found,Not found,Not found
agiss2007,INFOCOMP Journal of Computer Science,Journal,Not found,Not found,Not found,Not found,Not found
buich2007,Egypt. Comput. Sci. J.,Journal,Not found,Not found,Not found,Not found,Not found
orsss2008,"2008 3rd International Conference on Information and Communication Technologies: From Theory to Applications, ICTTA",Conference,Computer Networks and Communications,United States,-,Not found,Not found
turgn2008,International Journal of Environmental Technology and Management,Journal,Environmental Engineering,United Kingdom,2001-2025,Not found,"IJETM is an authoritative source of information in the field of environmental technology, policy and management. It deals with the shorter term, covering engineering, technical, policy and management solutions. It is one of three key journals which together offer comprehensive coverage of key environmental issues: IJEP focuses on early and medium-term challenges involving scientific prediction, modelling and assessment, and IJGEnvI focuses on longer-term environmental scenarios, ecological economics, climate change and biodiversity.

Topics covered include:
-Cleaner and zero emission technologies-
Technological developments for environmental improvements, pollution control and economic development-
New industrial process methods, pollution control improvements and economic development-
Industry and energy technologies for sustainable product development and sustainable production-
Eco-design and eco-efficiency-
Ecologically driven manufacturing and services-
Concepts of environmental engineering and protection-
European and international law, regulations and technological standards-
Incentives for innovation in environmental improvements-
International comparison of welfare and environmental enhancement of cutting-edge technologies-
Investment and abatement technologies-
Case studies and evaluation of emerging environmental technologies-
Environmental audit"
unoue2010,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
andes2012,American Academic & Scholarly Research Journal,Journal,Not found,Not found,Not found,Not found,Not found
mutml2012,"Proceedings of World Academy of Science, Engineering and Technology",Journal,Not found,Not found,Not found,Not found,Not found
sprch2012,"International Journal of Decision Sciences, Risk and Management",Journal,Not found,Not found,Not found,Not found,Not found
abiel2013,Modeling Approaches and Algorithms for Advanced Computer Applications,Journal,Not found,Not found,Not found,Not found,Not found
anses2013,Int. J. Inf. Coding Theory,Journal,Not found,Not found,Not found,Not found,Not found
leres2013,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
mames2013,Modeling Approaches and Algorithms for Advanced Computer Applications,Journal,Not found,Not found,Not found,Not found,Not found
meees2013,"International Journal of Metadata, Semantics and Ontologies",Journal,Computer Science Applications,United Kingdom,2006-2023,Not found,"IJMSO aims at publishing research advances and discussions about metadata in a broad sense, and about their associated semantics and ontological structures, from a multi-disciplinary perspective, and with an emphasis on domain-specific ontologies and organisational, human interaction and social issues regarding metadata annotation, use and assessment. It also intends covering Semantic Web research, as a concrete metadata-intensive technological framework in which shared and standardised semantics are a critical issue."
seaml2013,2013 ACS International Conference on Computer Systems and Applications (AICCSA),Conference,Not found,Not found,Not found,Not found,Not found
sotct2013,Procedia Computer Science,Journal,Computer Science (miscellaneous),Netherlands,2010-2024,Not found,"Launched in 2009, Procedia Computer Science is an electronic product focusing entirely on publishing high quality conference proceedings. Procedia Computer Science enables fast dissemination so conference delegates can publish their papers in a dedicated online issue on ScienceDirect, which is then made freely available worldwide."
agagn2014,2014 IEEE/ACS 11th International Conference on Computer Systems and Applications (AICCSA),Conference,Not found,Not found,Not found,Not found,Not found
ansge2014,Journal of Digital Information Management,Journal,Management Information Systems,India,"2004, 2006-2017",Not found,Information not localized
coars2014,"International Journal of Collaborative Intelligence 2014 1:1, 18-32",Journal,Not found,Not found,Not found,Not found,Not found
mesem2014,"Recent Advances in Environmental Science and Biomedicine, Proceedings of the 3rd International Conference on Health Science and Biomedical Systems (HSBS'14)",Journal,Not found,Not found,Not found,Not found,Not found
momss2014,"2014 4th International Symposium ISKO-Maghreb: Concepts and Tools for Knowledge Management, ISKO-Maghreb 2014",Conference,Computer Networks and Communications,United States,-,Not found,Information not localized
soict2014,International Journal of Systems and Service-Oriented Engineering (IJSSOE),Journal,Not found,Not found,Not found,Not found,Not found
sodnt2014,arXiv preprint arXiv:1401.5433,Journal,Not found,Not found,Not found,Not found,Not found
todgn2014,Ninth International Conference on Digital Information Management (ICDIM 2014),Conference,Not found,Not found,Not found,Not found,Not found
afook2015,"Proceedings - IEEE 15th International Conference on Advanced Learning Technologies: Advanced Technologies for Supporting Open Access to Formal and Informal Learning, ICALT 2015",Conference,Computer Networks and Communications,United States,-,Not found,Information not localized
enses2015,"Computer Science and Its Applications: 5th IFIP TC 5 International Conference, CIIA 2015, Saida, Algeria, May 20-21, 2015, Proceedings 5",Conference,Not found,Not found,Not found,Not found,Not found
reoms2015,"International Journal of Metadata, Semantics and Ontologies",Journal,Computer Science Applications,United Kingdom,2006-2023,Not found,"IJMSO aims at publishing research advances and discussions about metadata in a broad sense, and about their associated semantics and ontological structures, from a multi-disciplinary perspective, and with an emphasis on domain-specific ontologies and organisational, human interaction and social issues regarding metadata annotation, use and assessment. It also intends covering Semantic Web research, as a concrete metadata-intensive technological framework in which shared and standardised semantics are a critical issue."
reuon2015,"Computer Science and Its Applications: 5th IFIP TC 5 International Conference, CIIA 2015, Saida, Algeria, May 20-21, 2015, Proceedings 5",Conference,Not found,Not found,Not found,Not found,Not found
excts2016,Intelligent Decision Technology Support in Practice,Journal,Not found,Not found,Not found,Not found,Not found
sotmn2016,Service Oriented Computing and Applications,Journal,Management Information Systems,United Kingdom,2007-2024,Not found,"The aim of Service-Oriented Computing & Applications is to publish original and high quality research results on the service-oriented computing (SOC) paradigm, models and technologies that have significant contributions to the advancement of service oriented systems and their applications.

The journal focuses on the issues and research results related to the development of service-oriented technology, including service infrastructures, theoretical foundations and their applications and experiences in service-oriented computing."
degls2017,2017 International Conference on Mathematics and Information Technology (ICMIT),Conference,Not found,Not found,Not found,Not found,Not found
enees2017,EDBT/ICDT Workshops,Conference,Not found,Not found,Not found,Not found,Not found
jseap2017,Mendeley Data,Journal,Not found,Not found,Not found,Not found,Not found
qdews2017,Journal of Data and Information Quality (JDIQ),Journal,Not found,Not found,Not found,Not found,Not found
tofes2017,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
aurmy2018,International Journal of Technology Enhanced Learning,Journal,Computer Science Applications,Switzerland,2008-2025,Not found,"IJTEL focuses on promoting and disseminating research in e-learning and distance education worldwide. It encourages multidisciplinary research in online learning/teaching, technology-enabled design and deployment of academic programmes, teaching projects and initiatives, emerging technologies and applications, blended online and face-to-face teaching modes, materials and pedagogy. IJTEL aims: to provide holistic, multidisciplinary discussion on technology-enhanced learning research; to promote international collaboration and the exchange of ideas/know-how on technology-enhanced learning; and to investigate strategies on how technology-enhanced learning can promote sustainable development.

Topics covered include:
-Technology enhanced learning (TEL) domain
-Key issues: effective strategies, learning models/theories
-ICT deployment in education: policy, integration, extensibility, interoperability
-Pedagogical theories/models, constructivist approaches
-Collaborative/context aware/personalised approaches
-Communities of learners
-Web 2.0, semantic web
-Adaptive/personalised hypermedia, metadata/content standards
-Free/open source software, ubiquitous/pervasive/grid technologies
-Intelligent agents, learning management systems, emerging technologies
-TEL practices in different educational/learning contexts
-Surveys of TEL adoption in education
-TEL tools/emerging technologies, new generation TEL
-Government policies for TEL promotion
-Challenges, future of TEL, roadmaps for the future"
eitce2018,International Journal of Business Information Systems,Journal,Management Information Systems,United Kingdom,2005-2025,Not found,"Business information systems (BIS) can be defined as systems integrating information technology, people and business. BIS bring business functions and information modules together for establishing effective communication channels which are useful for making timely and accurate decisions and in turn contribute to organisational productivity and competitiveness. This paradigm shift leads to global outsourcing, strategic alliances and partnerships to be competitive in terms of price, quality, flexibility, dependability, responsiveness. IJBIS highlights new strategies, techniques, tools and technologies for developing suitable BIS.
Topics: Economic models for information systems
Data mining, data warehousing and information logistics
Geo-BIS
Language technology for BIS
Mobile e-business, web services for e-business, e-commerce
Legal information systems
Business intelligence
Knowledge management
Decision support systems
Strategic information systems
Artificial intelligence, expert systems, multimedia
Accounting information systems
Balanced scorecard, performance measures/metrics
IT/IS evaluation, internet standards/protocols/communications
ERP and supply chains; CRM."
frips2018,Trends and Advances in Information Systems and Technologies: Volume 2 6,Conference,Not found,Not found,Not found,Not found,Not found
mieon2018,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
onoin2018,Mendeley.,Journal,Not found,Not found,Not found,Not found,Not found
asvgn2019,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
ation2019,"Proceedings of the 2nd International Conference on Big Data Technologies, ICBDT 2019, Jinan, China, August 28-30, 2019",Conference,Not found,Not found,Not found,Not found,Not found
anrms2019,"Proceedings of the 9th International Conference on Information Systems and Technologies, ICIST 2019, Cairo, Egypt, March 24-26, 2019",Conference,Not found,Not found,Not found,Not found,Not found
aupes2019,IEEE Transactions on Knowledge and Data Engineering,Journal,Computational Theory and Mathematics,United States,1989-2025,Not found,"The scope includes the knowledge and data engineering aspects of computer science, artificial intelligence, electrical engineering, computer engineering, and other appropriate fields. This Transactions provides an international and interdisciplinary forum to communicate results of new developments in knowledge and data engineering and the feasibility studies of these ideas in hardware and software. Specific areas to be covered are as follows: Fields and Areas of Knowledge and Data Engineering: (a) Knowledge and data engineering aspects of knowledge based and expert systems, (b) Artificial Intelligence techniques relating to knowledge and data management, (c) Knowledge and data engineering tools and techniques, (d) Distributed knowledge base and database processing, (e) Real-time knowledge bases and databases, (f) Architectures for knowledge and data based systems, (g) Data management methodologies, (h) Database design and modeling, (i) Query, design, and implementation languages, (j) Integrity, security, and fault tolerance, (k) Distributed database control, (l) Statistical databases, (m) System integration and modeling of these systems, (n) Algorithms for these systems, (o) Performance evaluation of these algorithms, (p) Data communications aspects of these systems, and (q) Applications of these systems."
degot2019,"MODSIM05 - International Congress on Modelling and Simulation: Advances and Applications for Management and Decision Making, Proceedings",Journal,Information Systems and Management,United States,-,Not found,Not found
exaes2019,Information Systems,Journal,Not found,Not found,Not found,Not found,Not found
onfon2019,Journal of Applied Gerontology,Journal,Geriatrics and Gerontology,United States,1982-2025,Not found,"... is the official journal of the Southern Gerontological Society. The Journal of Applied Gerontology features articles that focus on research applications intended to improve the health and quality of life of older persons or to enhance our understanding of age-related issues that will eventually lead to such outcomes. We construe application to include original investigations or meta-analyses/systematic reviews that have significant clinical, policy, and/or practice implications. Rigorous studies of theoretical, conceptual, or methodological issues pertaining to research application are also welcome.

Journal of Applied Gerontology is also highlighting submissions in three areas that will advance the state-of-the-art in applied gerontological/geriatric research:

studies that employ mixed methodologies (i.e., the integration of qualitative and quantitative data);
efforts that translate evidence-based research to clinical practice; and
policy evaluations that apply evaluation principles and methods to examine the implementation and effectiveness of a government or institutional policy or program."
biihm2021,"Trends and Applications in Information Systems and Technologies - Volume 3, WorldCIST 2021, Terceira Island, Azores, Portugal, 30 March - 2 April, 2021",Conference,Not found,Not found,Not found,Not found,Not found
nefol2022,International Journal of Knowledge and Learning,Journal,Education,Switzerland,"2005-2012, 2014-2025",Not found,"IJKL aims at fostering multidisciplinary discussion and research on knowledge-intensive approaches to learning management and learning processes at the individual, organisational and national levels, emphasising knowledge representation issues, social and organisational elements, and architectural and design issues of learning management systems."
pacta2022,"Information Systems and Technologies: WorldCIST 2022, Volume 1",Journal,Not found,Not found,Not found,Not found,Not found
anegs2023,International Journal of Software Engineering and Knowledge Engineering,Journal,Artificial Intelligence,Singapore,1996-2025,Not found,"The International Journal of Software Engineering and Knowledge Engineering is intended to serve as a forum for researchers, practitioners, and developers to exchange ideas and results for the advancement of software engineering and knowledge engineering. Three types of papers will be published:
Research papers reporting original research results
Technology trend surveys reviewing an area of research in software engineering and knowledge engineering
Survey articles surveying a broad area in software engineering and knowledge engineering
In addition, tool reviews (no more than three manuscript pages) and book reviews (no more than two manuscript pages) are also welcome.
A central theme of this journal is the interplay between software engineering and knowledge engineering: how knowledge engineering methods can be applied to software engineering, and vice versa. The journal publishes papers in the areas of software engineering methods and practices, object-oriented systems, rapid prototyping, software reuse, cleanroom software engineering, stepwise refinement/enhancement, formal methods of specification, ambiguity in software development, impact of CASE on software development life cycle, knowledge engineering methods and practices, logic programming, expert systems, knowledge-based systems, distributed knowledge-based systems, deductive database systems, knowledge representations, knowledge-based systems in language translation & processing, software and knowledge-ware maintenance, reverse engineering in software design, and applications in various domains of interest."
mdroa2023,Journal of King Saud University - Computer and Information Sciences,Journal,Computer Science (miscellaneous),Switzerland,2014-2024,Not found,"The Journal of King Saud University Computer and Information Sciences is a refereed, international journal that covers all aspects of both foundations of computer and its practical applications. The journal publishes original papers in the areas of, but not limited to:
-Arabization
-Big Data
-Bioinformatics
-Biometrics
-Cloud Computing
-Computer Graphics
-Computer Vision
-Crowd Computing
-Data Mining
-Data Warehouse
-e-Business
-e-Learning
-Embedded Systems
-Fuzzy Systems
-Grid Computing
-High Performance Computing
-Image Processing
-Information Security
-Internet of Things
-Machine Learning
-Mobile Computing
-Natural Language Processing
-Net Centric Computing
-Network Protocols
-Network Security
-Pattern Recognition
-Pervasive Computing
-Robotics
-Social Networks
-Software Engineering
-Speech Processing
-Wireless and Mobile Networks
-Wireless Sensor Networks
Special emphasis is given to recent trends related to the cutting-edge research within the domain.

The journal publishes also Special Issues within its scope resulting from specific and dedicated editorial efforts or covering a particular theme.

All articles are subjected to extensive review by international reviewers."
thsdy2012,2012 Fourth International Conference on Computational Aspects of Social Networks (CASoN),Conference,Not found,Not found,Not found,Not found,Not found
exmes2014,"2014 10th International Conference on Information Assurance and Security, IAS 2014",Conference,Information Systems,United States,-,Not found,Not found
acres2015,"Advances in Visual Informatics: 4th International Visual Informatics Conference, IVIC 2015, Bangi, Malaysia, November 17-19, 2015, Proceedings 4",Conference,Not found,Not found,Not found,Not found,Not found
fiiod2015,"Proceedings of the 2015 7th International Conference of Soft Computing and Pattern Recognition, SoCPaR 2015",Conference,Computer Networks and Communications,United States,-,Not found,"After the success of the 6th International Conference on Soft Computing and Pattern Recognition (SoCPaR 2014), SoCPaR 2015 is organized to bring together worldwide leading researchers and practitioners interested in advancing the state of the art in Soft Computing and Pattern Recognition, for exchanging knowledge that encompasses a broad range of disciplines among various distinct communities. It is hoped that researchers and practitioners will bring new prospects for collaboration across disciplines and gain inspiration to facilitate novel breakthroughs. The themes for this conference are thus focused on ""Innovating and Inspiring Soft Computing and Intelligent Pattern Recognition"".
The conference is expected to provide an opportunity for the researchers to meet and discuss the latest solutions, scientific results and methods in solving intriguing problems in the fields of soft Computing and Pattern Recognition."
pases2015,Journal of Information Assurance & Security,Journal,Not found,Not found,Not found,Not found,Not found
scyem2015,"Advances in Visual Informatics: 4th International Visual Informatics Conference, IVIC 2015, Bangi, Malaysia, November 17-19, 2015, Proceedings 4",Conference,Not found,Not found,Not found,Not found,Not found
chplt2016,Journal of Information Assurance & Security,Journal,Not found,Not found,Not found,Not found,Not found
chblt2016,16th International Conference on Hybrid Inteligent System (HIS),Conference,Not found,Not found,Not found,Not found,Not found
efolt2016,VIIS 2016,Conference,Not found,Not found,Not found,Not found,Not found
muaon2016,ISDA 2016,Conference,Not found,Not found,Not found,Not found,Not found
chblt2017,Proceedings of the 16th International Conference on Hybrid Intelligent Systems (HIS 2016),Conference,Not found,Not found,Not found,Not found,Not found
chnes2018,"2018 9th IFIP International Conference on New Technologies, Mobility and Security (NTMS)",Conference,Not found,Not found,Not found,Not found,Not found
sea182018,"Proceedings - 2018 IEEE 27th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises, WETICE 2018",Conference,"Business, Management and Accounting (miscellaneous)",United States,-,Not found,Not found
onnlt2024,IEEE Access,Journal,Computer Science (miscellaneous),United States,2013-2025,Not found,"IEEE Access® is a multidisciplinary, open access (OA), applications-oriented, all-electronic archival journal that continuously presents the results of original research or development across all of IEEE's fields of interest.
IEEE Access will publish articles that are of high interest to readers, original, technically correct, and clearly presented. Supported by author publication charges (APC), its hallmarks are a rapid peer review and publication process with open access to all readers. Unlike IEEE's traditional Transactions or Journals, reviews are ""binary"", in that reviewers will either Accept or Reject an article in the form it is submitted in order to achieve rapid turnaround. Especially encouraged are submissions on:

Multidisciplinary topics, or applications-oriented articles and negative results that do not fit within the scope of IEEE's traditional journals.
Practical articles discussing new experiments or measurement techniques, interesting solutions to engineering.
Development of new or improved fabrication or manufacturing techniques.
Reviews or survey articles of new or evolving fields oriented to assist others in understanding the new area."
